9 Reentrant message: kDragIPCCompleted, current message: kDragIPCLeaveApplication
Unable to obtain a task name port right for pid 480: (os/kern) failure (0x5)
[ContinuousScroll] recalculateLayout: empty imageSizes
[ContinuousScroll] updateVisibleSlots: visibleRect=(-2.210268948655257, -78.4645476772752, 1281.955990220049, 1856.6259168705767), centerY=849.8484107580132, newIndex=0, lastNotified=-1
[ContinuousScroll] updateVisibleSlots: visibleRect=(-2.210268948655257, -78.4645476772752, 1281.955990220049, 1856.6259168705767), centerY=849.8484107580132, newIndex=0, lastNotified=0
[ContinuousScroll] configure: folder.images.count=321, containerWidth=580.0
[ContinuousScroll] preloaded 321 image sizes
[ContinuousScroll] updateVisibleSlots: visibleRect=(-2.210268948655257, -78.4645476772752, 1281.955990220049, 1856.6259168705767), centerY=849.8484107580132, newIndex=319, lastNotified=-1
[ContinuousScroll] handleImageChanged: index=319, scaledSize=(580.0, 819.25)
[ContinuousScroll] handleImageChanged: targetSize=(580.0, 841.25), viewportWidth=580.0
[ContinuousScroll] recalculateLayout: totalHeight=260765.28125, containerWidth=580.0, frame=(0.0, 0.0, 580.0, 260765.28125)
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, -74.04400977996406, 1281.9559902200488, 1856.6259168705767), centerY=854.2689486553243, newIndex=319, lastNotified=319
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, -29.83863080684357, 1281.9559902200488, 1856.6259168701106), centerY=898.4743276282118, newIndex=319, lastNotified=319
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, -7.735941320300352, 1281.9559902200488, 1856.6259168705767), centerY=920.577017114988, newIndex=319, lastNotified=319
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 12.156479217600445, 1281.9559902200488, 1856.6259168705767), centerY=940.4694376528888, newIndex=319, lastNotified=319
